browser_version,browser
Chrome Mobile 66.0,chrome mobile
Firefox 57,firefox
Chrome 66.0,chrome
Chrome Mobile 34.0,chrome mobile
Chrome Mobile 65.0,chrome mobile
Facebook 172,facebook
Facebook 173,facebook
Mobile Safari 11,mobile safari
Chrome 65.0,chrome
Chrome 67.0,chrome
Safari 11.1,safari
Firefox 60,firefox
Firefox 59,firefox
IE 11,ie
Chrome Mobile 39,chrome mobile
Chrome Mobile 56.0,chrome mobile
Chrome 63.0,chrome
Chrome 64.0,chrome
Chrome Mobile 64.0,chrome mobile
Mobile Safari 9,mobile safari
Chrome 62.0,chrome
Facebook 166,facebook
Facebook 163,facebook
Chrome Mobile 63.0,chrome mobile
Chrome 61.0,chrome
Chrome 55.0,chrome
Chrome 51.0,chrome
Chrome Mobile 61.0,chrome mobile
Chrome Mobile 55.0,chrome mobile
Samsung Internet 6.4,samsung
Opera 52.0,opera
Chrome 49.0,chrome
Edge 13.10586,edge
Facebook 94,facebook
Android 5.1,android
Chrome Mobile 62.0,chrome mobile
Opera 53.0,opera
Edge 17.17134,edge
Facebook 91,facebook
Facebook 92,facebook
Facebook 88,facebook
Facebook 89,facebook
Chrome 68.0,chrome
Edge 16.16299,edge
Chrome Mobile 50.0,chrome mobile
Chrome Mobile 58.0,chrome mobile
Chrome 56.0,chrome
Mobile Safari 10,mobile safari
Chrome 60,chrome
Chrome Mobile 46.0,chrome mobile
Firefox 54,firefox
Facebook 171,facebook
IE Mobile 11,ie mobile
Chrome 57.0,chrome
Chrome Mobile iOS 64.0,chrome mobile
Safari 8.0,safari
Android 4.4,android
Firefox 52,firefox
Samsung Internet 7,samsung
Samsung Internet 4,samsung
Firefox 43,firefox
Opera Mini 20.0,opera
Chrome Mobile 57.0,chrome mobile
Android 4.1,android
Chrome Mobile 39.0,chrome mobile
Facebook 170,facebook
Facebook 167,facebook
Chrome Mobile 43.0,chrome mobile
Chrome 58.0,chrome
Chrome Mobile iOS 63.0,chrome mobile
Android 4.3,android
Chrome 39,chrome
Firefox Mobile 60,firefox mobile
Chrome 58.5,chrome
Chrome 40.0,chrome
Chrome Mobile iOS 66.0,chrome mobile
Chrome Mobile 59.0,chrome mobile
Chrome Mobile 51.0,chrome mobile
Edge Mobile 13.10586,edge mobile
Facebook 159,facebook
Chrome Mobile 30,chrome mobile
Chrome Mobile 30.0,chrome mobile
Samsung Internet 4.2,samsung
UC Browser 12.5,uc
Facebook 153,facebook
Facebook 169,facebook
Chrome Mobile 28.0,chrome mobile
Chrome 41.0,chrome
Samsung Internet 3.5,samsung
Samsung Internet 6.2,samsung
Facebook 160,facebook
Mobile Safari 8,mobile safari
Facebook 161,facebook
Facebook 162,facebook
